courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 124,1,2009-2010,W,4L,2016-20211
CMSC 22,2,2006-2007,U,1L,2017-09671
CMSC 21,2,2006-2007,Y,3L,2015-86653
CMSC 22,2,2014-2015,W,6L,2013-31257
CMSC 11,2,2008-2009,Z,2L,2016-73537
CMSC 128,2,2011-2012,X,3L,2015-21327
CMSC 198,1,2006-2007,U,1L,2019-13964
CMSC 130,2,2007-2008,W,1L,2013-48016
CMSC 22,2,2014-2015,W,3L,2018-54408
CMSC 125,1,2007-2008,U,3L,2010-30877
CMSC 125,1,2008-2009,Y,3L,2012-60577
CMSC 190-2,2,2009-2010,X,1L,2017-61577
CMSC 170,1,2009-2010,U,6L,2013-34391
CMSC 191,2,2009-2010,X,2L,2010-39463
CMSC 130,2,2015-2016,V,4L,2015-71203
CMSC 165,1,2014-2015,W,2L,2011-57754
CMSC 198,2,2007-2008,X,5L,2012-79083
CMSC 198,1,2013-2014,U,1L,2011-35754
CMSC 125,2,2009-2010,X,5L,2018-57565
CMSC 161,2,2009-2010,Y,3L,2015-30532
CMSC 170,1,2014-2015,X,3L,2019-23216
CMSC 128,1,2011-2012,X,3L,2018-57507
CMSC 191,2,2007-2008,Y,1L,2016-90950
CMSC 161,2,2013-2014,Z,4L,2010-68283
CMSC 11,2,2009-2010,X,1L,2013-28748
CMSC 130,1,2009-2010,X,5L,2018-20515
CMSC 131,2,2006-2007,W,3L,2015-40044
CMSC 190-2,2,2009-2010,W,6L,2019-58690
CMSC 125,2,2009-2010,Z,5L,2012-23566
CMSC 161,2,2014-2015,V,4L,2014-01756
CMSC 124,1,2007-2008,Z,5L,2017-80525
CMSC 128,2,2009-2010,U,5L,2011-05141
CMSC 2,2,2007-2008,W,2L,2018-52650
CMSC 125,2,2015-2016,X,4L,2014-36868
CMSC 191,2,2014-2015,Y,2L,2012-22919
CMSC 123,2,2009-2010,U,6L,2012-05425
CMSC 131,1,2015-2016,V,2L,2019-22743
CMSC 2,1,2008-2009,W,5L,2011-32228
CMSC 123,2,2008-2009,X,4L,2018-94600
CMSC 22,2,2009-2010,Y,2L,2013-06354
CMSC 21,1,2012-2013,Z,4L,2017-50006
CMSC 170,2,2012-2013,V,5L,2014-03945
CMSC 123,2,2013-2014,V,4L,2017-99582
CMSC 170,1,2008-2009,U,3L,2016-80324
CMSC 130,1,2015-2016,Y,1L,2012-47074
CMSC 161,2,2011-2012,Y,5L,2014-71021
CMSC 191,1,2015-2016,U,4L,2010-06668
CMSC 161,1,2008-2009,V,1L,2018-14810
CMSC 11,1,2011-2012,X,6L,2019-63842
CMSC 131,2,2011-2012,W,3L,2019-77661
CMSC 124,2,2006-2007,W,3L,2017-45374
CMSC 128,2,2015-2016,X,4L,2014-73277
CMSC 130,2,2013-2014,Y,5L,2010-03117
CMSC 150,1,2013-2014,Y,3L,2018-02705
CMSC 198,1,2006-2007,V,2L,2019-95908
CMSC 198,1,2014-2015,X,1L,2014-73983
CMSC 132,2,2006-2007,Y,4L,2017-20834
CMSC 11,2,2007-2008,Y,2L,2012-64678
CMSC 125,1,2010-2011,V,1L,2012-65084
CMSC 132,1,2007-2008,W,4L,2014-42878
CMSC 21,1,2008-2009,Z,2L,2015-14243
CMSC 161,2,2013-2014,Z,6L,2019-47682
CMSC 130,1,2015-2016,X,5L,2018-29257
CMSC 128,1,2013-2014,U,6L,2013-56803
CMSC 21,1,2007-2008,V,4L,2011-55431
CMSC 190-2,1,2009-2010,V,2L,2011-31478
CMSC 123,1,2015-2016,V,2L,2010-21190
CMSC 161,1,2008-2009,X,1L,2015-31632
CMSC 124,2,2007-2008,Y,6L,2011-97126
CMSC 170,1,2011-2012,Z,2L,2016-31495
CMSC 125,1,2012-2013,W,1L,2014-22918
CMSC 130,1,2015-2016,X,3L,2011-77769
CMSC 165,1,2009-2010,Z,5L,2018-57087
CMSC 161,1,2007-2008,Y,3L,2011-92189
CMSC 191,2,2014-2015,Z,6L,2011-14847
CMSC 11,2,2013-2014,Y,1L,2012-13281
CMSC 22,1,2013-2014,Y,6L,2012-80482
CMSC 191,1,2008-2009,X,3L,2017-15838
CMSC 161,2,2006-2007,V,5L,2018-96261
CMSC 198,1,2008-2009,X,1L,2013-93697
CMSC 22,2,2008-2009,X,3L,2015-41168
CMSC 170,1,2012-2013,W,1L,2017-36546
CMSC 124,1,2010-2011,X,6L,2018-55115
CMSC 161,1,2011-2012,Z,6L,2011-98315
CMSC 150,1,2015-2016,X,3L,2015-77612
CMSC 128,1,2008-2009,W,1L,2014-81126
CMSC 128,1,2015-2016,X,3L,2015-82910
CMSC 170,2,2011-2012,X,2L,2018-75677
CMSC 170,2,2011-2012,U,2L,2012-59044
CMSC 191,2,2012-2013,V,4L,2011-36569
CMSC 198,2,2013-2014,W,1L,2018-32470
CMSC 2,2,2009-2010,U,6L,2010-46477
CMSC 124,2,2008-2009,Z,5L,2016-57721
CMSC 2,2,2008-2009,U,4L,2012-51592
CMSC 11,2,2010-2011,W,1L,2018-02777
CMSC 124,2,2006-2007,Y,1L,2014-58270
CMSC 21,2,2013-2014,U,6L,2018-31550
CMSC 125,1,2011-2012,U,6L,2016-68779
CMSC 130,1,2007-2008,X,6L,2012-35345
CMSC 131,1,2012-2013,Z,6L,2015-04031
CMSC 191,1,2009-2010,X,4L,2010-57028
CMSC 128,2,2013-2014,U,1L,2015-30216
CMSC 150,2,2008-2009,U,6L,2013-60944
CMSC 131,2,2010-2011,V,6L,2011-75590
CMSC 21,2,2006-2007,X,2L,2018-99146
CMSC 125,2,2006-2007,Z,6L,2015-44625
CMSC 2,2,2007-2008,U,4L,2010-88750
CMSC 130,1,2007-2008,V,2L,2017-53065
CMSC 190-1,1,2006-2007,V,3L,2010-00803
CMSC 170,2,2007-2008,Z,1L,2015-35802
CMSC 130,2,2006-2007,Y,1L,2014-88234
CMSC 123,2,2010-2011,Y,1L,2016-23394
CMSC 11,1,2007-2008,Y,4L,2015-21529
CMSC 150,2,2006-2007,W,1L,2012-11759
CMSC 150,1,2009-2010,X,6L,2014-03957
CMSC 130,2,2012-2013,W,4L,2016-04842
CMSC 170,1,2014-2015,X,5L,2015-06463
CMSC 150,2,2012-2013,U,2L,2011-93266
CMSC 170,1,2010-2011,U,4L,2013-45591
CMSC 150,2,2006-2007,X,1L,2016-66549
CMSC 22,1,2015-2016,X,6L,2015-11321
CMSC 150,2,2007-2008,X,3L,2016-81463
CMSC 191,1,2010-2011,U,2L,2012-13239
CMSC 11,1,2012-2013,U,3L,2018-45263
CMSC 2,1,2006-2007,Z,4L,2010-48888
CMSC 130,2,2010-2011,U,4L,2011-58590
CMSC 170,1,2013-2014,V,6L,2016-16137
CMSC 190-2,2,2013-2014,Z,6L,2018-26796
CMSC 131,2,2015-2016,X,5L,2015-17643
CMSC 22,2,2014-2015,X,5L,2011-56368
CMSC 21,1,2010-2011,Y,3L,2019-00389
CMSC 125,2,2010-2011,U,1L,2010-53244
CMSC 150,1,2009-2010,U,1L,2015-89687
CMSC 165,1,2014-2015,U,6L,2019-77976
CMSC 22,1,2011-2012,Z,2L,2011-03282
CMSC 22,2,2010-2011,Y,6L,2016-98990
CMSC 11,1,2007-2008,X,4L,2014-58855
CMSC 170,2,2012-2013,Z,6L,2015-05381
CMSC 132,1,2013-2014,X,3L,2015-06324
CMSC 128,2,2010-2011,Y,5L,2014-17966
CMSC 165,1,2008-2009,W,3L,2010-85744
CMSC 125,1,2012-2013,U,3L,2012-47579
CMSC 132,1,2010-2011,Z,4L,2013-53740
CMSC 11,1,2015-2016,Z,2L,2013-30648
CMSC 165,1,2015-2016,X,5L,2012-53774
CMSC 132,1,2015-2016,W,1L,2013-58647
CMSC 22,2,2007-2008,X,1L,2012-25237
CMSC 2,1,2010-2011,X,2L,2015-54768
CMSC 128,2,2010-2011,V,1L,2010-88882
CMSC 132,1,2006-2007,W,3L,2011-82672
CMSC 170,1,2009-2010,Y,5L,2018-53939
CMSC 190-1,1,2010-2011,Y,3L,2010-51416
CMSC 165,1,2015-2016,X,1L,2010-94710
CMSC 123,1,2010-2011,X,3L,2019-01163
CMSC 125,2,2014-2015,U,2L,2012-22375
CMSC 190-1,2,2014-2015,X,6L,2016-98733
CMSC 165,1,2013-2014,Z,1L,2012-86659
CMSC 165,1,2013-2014,V,1L,2012-88836
CMSC 150,2,2013-2014,Z,2L,2010-73588
CMSC 132,1,2006-2007,W,5L,2018-08830
CMSC 170,1,2014-2015,Y,3L,2010-00513
CMSC 190-1,1,2008-2009,X,5L,2014-83557
CMSC 190-1,2,2010-2011,U,1L,2012-93470
CMSC 21,2,2009-2010,W,3L,2018-31447
CMSC 150,2,2006-2007,Z,6L,2011-86817
CMSC 150,1,2007-2008,W,1L,2013-87752
CMSC 128,1,2014-2015,X,2L,2011-88568
CMSC 170,2,2015-2016,W,4L,2012-05644
CMSC 190-2,1,2009-2010,Z,2L,2013-47594
CMSC 2,2,2007-2008,V,6L,2011-12313
CMSC 130,1,2011-2012,U,1L,2014-12716
CMSC 161,1,2014-2015,W,3L,2018-10716
CMSC 128,1,2013-2014,W,1L,2015-54511
CMSC 170,1,2006-2007,X,6L,2012-97540
CMSC 124,1,2007-2008,V,6L,2012-03221
CMSC 124,2,2006-2007,U,2L,2016-93217
CMSC 11,1,2006-2007,Y,4L,2015-07379
CMSC 11,1,2011-2012,V,3L,2017-72232
CMSC 191,1,2015-2016,U,3L,2017-59049
CMSC 161,2,2011-2012,Y,1L,2019-56810
CMSC 170,1,2006-2007,U,5L,2012-20987
CMSC 170,1,2010-2011,W,1L,2012-91390
CMSC 123,1,2008-2009,V,3L,2011-22088
CMSC 130,2,2011-2012,X,2L,2012-02130
CMSC 130,2,2013-2014,V,4L,2016-72966
CMSC 190-2,2,2012-2013,W,3L,2014-05173
CMSC 131,2,2012-2013,Y,4L,2013-04654
CMSC 21,1,2008-2009,X,1L,2017-24492
CMSC 131,1,2011-2012,V,3L,2010-21288
CMSC 124,1,2006-2007,Z,4L,2013-81382
CMSC 170,1,2015-2016,W,6L,2010-73330
CMSC 22,1,2014-2015,V,4L,2015-86601
CMSC 150,1,2006-2007,V,4L,2019-06378
CMSC 125,2,2013-2014,X,3L,2012-47450
CMSC 131,1,2013-2014,Z,5L,2019-10130
CMSC 198,2,2012-2013,X,3L,2011-13177
CMSC 190-2,1,2014-2015,W,6L,2015-05492
CMSC 11,1,2006-2007,W,6L,2013-90688
CMSC 198,1,2012-2013,X,2L,2012-05749
CMSC 11,1,2009-2010,X,2L,2019-69975
CMSC 131,2,2010-2011,W,6L,2011-75490
CMSC 21,2,2011-2012,X,2L,2015-85361
CMSC 191,2,2014-2015,U,6L,2013-33691
CMSC 161,2,2012-2013,W,6L,2016-72642
CMSC 21,2,2015-2016,W,3L,2019-53615
CMSC 190-2,1,2011-2012,Y,5L,2016-83215
CMSC 130,1,2015-2016,Y,4L,2012-00584
CMSC 21,2,2009-2010,Z,1L,2011-63046
CMSC 150,2,2009-2010,W,3L,2013-18236
CMSC 124,2,2009-2010,V,5L,2012-59533
CMSC 165,1,2012-2013,Z,5L,2010-18591
CMSC 21,1,2011-2012,W,4L,2014-53544
CMSC 191,2,2006-2007,Z,2L,2019-64496
CMSC 124,2,2010-2011,Z,2L,2014-60143
CMSC 161,2,2006-2007,U,6L,2017-03348
CMSC 190-2,2,2008-2009,U,6L,2011-07358
CMSC 132,1,2008-2009,X,3L,2012-26465
CMSC 132,2,2008-2009,Z,4L,2014-16997
CMSC 2,1,2015-2016,U,2L,2011-99733
CMSC 198,2,2006-2007,V,5L,2013-06033
CMSC 130,2,2015-2016,V,5L,2010-52345
CMSC 130,2,2008-2009,W,2L,2012-36410
CMSC 124,2,2009-2010,X,2L,2013-72915
CMSC 124,2,2007-2008,Z,1L,2010-53207
CMSC 124,2,2011-2012,V,6L,2016-95386
CMSC 128,2,2011-2012,W,4L,2010-00159
CMSC 21,2,2015-2016,U,6L,2014-99276
CMSC 21,2,2010-2011,V,2L,2010-82993
CMSC 124,2,2012-2013,Z,3L,2018-03829
CMSC 125,2,2010-2011,V,1L,2019-90691
CMSC 150,2,2011-2012,V,4L,2012-89168
CMSC 123,2,2008-2009,X,6L,2016-08737
CMSC 11,1,2013-2014,Y,6L,2013-24482
CMSC 132,1,2009-2010,U,6L,2018-47182
CMSC 131,1,2011-2012,X,3L,2014-97337
CMSC 130,1,2010-2011,Y,6L,2010-20642
CMSC 150,1,2011-2012,X,5L,2016-13282
CMSC 190-2,2,2010-2011,V,6L,2011-14739
CMSC 124,2,2015-2016,Y,6L,2019-96026
CMSC 165,2,2006-2007,Y,2L,2014-04421
CMSC 2,1,2011-2012,Y,6L,2012-87868
CMSC 190-2,2,2009-2010,W,1L,2015-82425
CMSC 150,1,2008-2009,Z,3L,2014-87929
CMSC 124,2,2015-2016,Y,4L,2015-41472
CMSC 21,2,2013-2014,Z,6L,2010-18739
CMSC 130,2,2012-2013,Z,1L,2018-23940
CMSC 198,2,2015-2016,U,6L,2017-30257
CMSC 128,2,2010-2011,U,5L,2016-21918
CMSC 165,1,2008-2009,U,4L,2012-79974
CMSC 190-2,1,2008-2009,Z,4L,2015-85658
CMSC 190-1,2,2010-2011,U,4L,2013-08263
CMSC 123,2,2010-2011,V,5L,2019-01683
CMSC 125,2,2015-2016,V,4L,2019-33970
CMSC 131,1,2008-2009,U,2L,2012-66055
CMSC 124,1,2014-2015,X,6L,2010-06213
CMSC 150,1,2010-2011,U,3L,2018-19034
CMSC 125,1,2012-2013,W,1L,2013-34355
CMSC 191,2,2012-2013,Y,5L,2010-18853
CMSC 170,2,2013-2014,U,1L,2010-83736
CMSC 21,1,2006-2007,Y,2L,2010-52707
CMSC 124,1,2006-2007,V,5L,2016-86707
CMSC 130,2,2014-2015,V,6L,2018-61943
CMSC 191,2,2014-2015,Y,6L,2015-98233
CMSC 161,2,2011-2012,Y,1L,2016-91737
CMSC 170,1,2011-2012,V,2L,2017-47676
CMSC 198,1,2015-2016,Y,1L,2011-98044
CMSC 123,2,2012-2013,W,5L,2013-01180
CMSC 170,1,2010-2011,W,1L,2019-66721
CMSC 21,2,2006-2007,U,6L,2012-80952
CMSC 125,1,2008-2009,U,3L,2012-66053
CMSC 190-1,1,2010-2011,W,1L,2018-92624
CMSC 190-1,2,2012-2013,Z,5L,2012-57596
CMSC 161,1,2006-2007,Y,2L,2012-64552
CMSC 131,2,2010-2011,V,6L,2011-29281
CMSC 130,1,2009-2010,Z,5L,2012-07527
CMSC 190-1,2,2013-2014,Z,4L,2016-47361
CMSC 131,2,2009-2010,Y,4L,2019-93337
CMSC 161,2,2006-2007,U,4L,2016-20954
CMSC 128,2,2013-2014,W,6L,2015-12171
CMSC 123,2,2013-2014,X,4L,2013-42785
CMSC 190-1,1,2015-2016,U,4L,2019-68919
CMSC 150,2,2013-2014,U,1L,2014-63390
CMSC 11,1,2008-2009,V,6L,2013-63843
